"5898","0.0","0.0","false","0.03518139212113007","true","1.0","true","false","false","false"
"10916","0.0","0.0","false","0.0","false","0.0","false","false","false","false"
"16211","0.0","0.0","false","0.5078172999235687","true","0.0","false","false","false","false"
"21501","0.0","0.0","false","0.0","false","0.0","false","false","false","false"
"26792","0.0","0.0","false","5.996105345601444E-5","true","0.0","false","false","false","false"
"32037","0.0","0.0","false","0.2207289070616963","true","0.0","false","false","false","false"
"37322","0.0","0.0","false","0.0","false","0.0","false","false","false","false"
"42605","0.0","0.0","false","0.0","false","0.0","false","false","false","false"
"47898","0.0","0.0","false","0.0","false","0.0","false","false","false","false"
"53181","0.0","0.0","false","0.12057402393709528","true","0.0","false","false","false","false"
"58462","0.0","0.0","false","0.020532605552304888","true","0.0","false","false","false","false"
"63760","0.0","0.0","false","1.706900037017168E-5","true","0.0","false","false","false","false"
